hg,http://www.highglowonline.com/,user_images/,ajaffe/,ajaffe,126,20000001,1,2541
lsl,http://www.lesliewatch.com/,user_images/,ballwatches/,ballwatches,88,23500001,1,119206
hg,http://www.highglowonline.com/,user_images/,baumeandmercier/,baumeandmercier,66,4000001,1,307
hg,http://www.highglowonline.com/,user_images/,chopard/,chopard,77,18500001,1,2329
lsl,http://www.lesliewatch.com/,user_images/,hamilton/,hamilton,67,7000001,1,1321
lsl,http://www.lesliewatch.com/,user_images/,longines/,longines,68,8500001,1,306
lsl,http://www.lesliewatch.com/,user_images/,luminox/,luminox,69,9000001,1,119259
lsl,http://www.lesliewatch.com/,user_images/,michele/,michele,70,9500001,1,741
hg,http://www.highglowonline.com/,user_images/,montblancjewelry/,montblancjewelry,80,20500001,1,840
hg,http://www.highglowonline.com/,user_images/,montblancwatches/,montblancwatches,78,19000001,1,308
hg,http://www.highglowonline.com/,user_images/,montegrappa_pens/,montegrappa_pens,84,22500001,1,2552
hg,http://www.highglowonline.com/,user_images/,montplancpen/,montplancpen,71,10500001,1,466
lsl,http://www.lesliewatch.com/,user_images/,movadowatches/,movadowatches,81,21000001,1,1776
lsl,http://www.lesliewatch.com/,user_images/,oris/,oris,72,12000001,1,304
hg,http://www.highglowonline.com/,user_images/,rado_watch/,rado_watch,73,12500001,1,1485
lsl,http://www.lesliewatch.com/,user_images/,raymondweil/,raymondweil,74,13500001,1,275
lsl,http://www.lesliewatch.com/,user_images/,technomarine/,technomarine,83,22000001,1,119350
hg,http://www.highglowonline.com/,user_images/,tibaldi/,tibaldi,85,23000001,1,2610
lsl,http://www.lesliewatch.com/,user_images/,tissot/,tissot,75,16000001,1,575
hg,http://www.highglowonline.com/,user_images/,verragio/,verragio,76,17500001,1,2477
lsl,http://www.lesliewatch.com/,user_images/,victorinox/,victorinox,82,21500001,1,118080